  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 07:50:35	  -5.003	   0.000	  416.15	 1012.02	   15.90	  -712.5	  -304.7	  -677.2	  -537.7	   -44.9	   145.1	   0.000	   1.220	   975.3	    40.0	  448687	  123.03	  123.03	   17.61	   17.79	    0.00	  17.271	  17.780	  34.089	  33.593	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 07:51:06	   4.995	   0.000	  416.28	 1012.03	   15.94	  -588.7	   -98.3	  1607.6	  1547.6	  -976.6	    23.4	   0.000	   1.220	   975.6	    40.0	  448675	  123.03	  123.03	   17.84	   17.80	    0.00	  17.882	  18.861	  34.143	  33.598	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 07:51:36	   7.000	   0.000	  415.96	 1012.02	   15.96	  -216.1	    70.7	  1998.7	  1793.5	  -909.6	    -8.7	   0.000	   1.219	   974.9	    40.0	  448457	  123.04	  123.02	   17.52	   17.53	    0.00	  18.766	  20.138	  34.169	  33.656	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 07:52:15	   2.507	   0.000	  416.01	 1012.02	   16.03	  -839.5	  -157.4	  1112.5	  1105.4	  -959.7	    55.8	   0.000	   1.219	   975.0	    40.0	  448351	  123.03	  123.04	   17.64	   17.93	    0.00	  20.150	  21.793	  34.112	  33.614	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 07:53:12	   7.998	   0.000	  416.07	 1012.00	   16.09	    -1.0	    83.7	  2132.1	  1912.3	  -837.9	   -12.1	   0.000	   1.219	   975.1	    40.0	  448253	  123.04	  123.03	   17.74	   18.07	    0.00	  22.178	  23.889	  34.051	  33.574	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 07:53:47	   7.006	   0.000	  416.26	 1011.99	   16.14	  1969.1	   -64.5	  1525.0	  1461.2	   901.2	    59.9	   0.000	   1.219	   975.6	    40.0	  448256	   82.02	   82.02	    0.76	    0.72	    0.00	  23.217	  24.648	  30.772	  30.700	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 07:54:18	  -5.000	   0.000	  415.49	 1011.97	   16.18	  1459.2	    52.1	  -922.2	  -925.5	  1613.0	   -82.3	   0.000	   1.218	   973.7	    40.0	  447747	   82.03	   82.02	    0.83	    0.83	    0.00	  23.481	  24.357	  30.965	  30.780	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 07:54:48	   7.996	   0.000	  415.97	 1011.96	   16.24	  2151.5	   -75.7	  1644.4	  1580.5	   956.7	    71.3	   0.000	   1.218	   974.9	    40.0	  447896	   82.02	   82.03	    1.45	    1.07	    0.00	  23.323	  23.761	  30.796	  30.768	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 07:55:15	   5.004	   0.000	  415.74	 1011.96	   16.25	  1657.3	   -50.7	  1200.8	  1143.3	   858.4	    48.0	   0.000	   1.218	   974.3	    40.0	  447757	   82.02	   82.01	    0.97	    0.85	    0.00	  23.000	  23.175	  30.511	  30.446	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 07:55:35	   2.503	   0.000	  415.81	 1011.96	   16.26	  1385.5	  -105.5	   709.6	   740.6	   833.6	    18.3	   0.000	   1.218	   974.5	    40.0	  447769	   82.02	   82.01	    1.10	    0.80	    0.00	  22.733	  22.766	  30.455	  30.383	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 07:56:05	   2.503	   0.000	  415.59	 1011.95	   16.33	  1815.7	   -95.1	   626.5	   672.7	  1183.4	     9.4	   0.000	   1.218	   974.0	    40.0	  447519	   70.31	   70.29	   -1.35	   -1.37	    0.00	  22.323	  22.209	  27.955	  28.552	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 07:56:55	   2.503	   0.000	  415.58	 1011.93	   16.40	   605.7	  -131.5	   849.6	   867.5	   204.7	    37.4	   0.000	   1.217	   974.0	    40.0	  447363	   98.42	   98.43	    7.13	    6.35	    0.00	  21.723	  21.592	  30.299	  30.153	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 07:57:22	   7.993	   0.000	  415.45	 1011.95	   16.40	  1379.4	   -43.6	  1809.9	  1704.9	   318.7	    49.4	   0.000	   1.218	   973.6	    40.0	  447292	   98.43	   98.43	    6.55	    6.51	    0.00	  21.541	  21.489	  30.335	  30.288	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 07:59:10	   2.496	   8.000	  415.27	 1011.92	   16.56	   278.5	 -5097.7	  -397.9	  2325.0	  -116.1	  2734.7	   0.000	   1.217	   973.2	    40.0	  446877	   98.43	   98.43	    6.61	    6.40	    0.00	  21.365	  21.536	  30.487	  30.144	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 07:59:55	   2.496	  -3.995	  415.08	 1011.92	   16.60	   605.0	  2336.1	  1540.5	   210.3	   155.2	 -1304.0	   0.000	   1.217	   972.8	    40.0	  446693	   98.44	   98.42	    6.41	    7.57	    0.00	  21.335	  21.615	  30.295	  30.305	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 08:00:20	   2.496	   3.995	  413.97	 1011.92	   16.60	   588.1	 -2455.4	   229.2	  1481.6	   182.4	  1376.5	   0.000	   1.217	   970.1	    39.9	  446090	   98.42	   98.42	    6.30	    6.11	    0.00	  21.348	  21.644	  30.356	  30.057	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 08:01:29	   2.496	   3.995	  415.08	 1011.95	   16.66	   613.0	 -2467.7	   227.7	  1479.7	   195.7	  1366.3	   0.000	   1.216	   972.8	    40.0	  446582	   98.44	   98.42	    6.75	    6.16	    0.00	  21.385	  21.763	  30.413	  30.140	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 08:02:04	   2.496	  10.000	  415.46	 1011.92	   16.70	   104.2	 -6118.5	  -694.4	  2709.2	  -275.5	  3205.9	   0.000	   1.216	   973.7	    40.0	  446707	   98.43	   98.43	    7.09	    6.43	    0.00	  21.409	  21.823	  30.550	  30.140	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      19	 08:02:25	   2.496	   8.005	  415.39	 1011.95	   16.71	   284.1	 -5122.0	  -413.4	  2337.9	  -114.5	  2732.8	   0.000	   1.216	   973.5	    40.0	  446655	   98.43	   98.43	    6.52	    6.78	    0.00	  21.407	  21.859	  30.494	  30.118	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
